date,MAU
2022-12-21,17
2022-12-22,17
2022-12-23,17
2022-12-24,17
2022-12-25,17
2022-12-26,16
2022-12-27,16
2022-12-28,16
2022-12-29,16
2022-12-30,15
2022-12-31,14
