date,STICKINESS
2022-08-21,7.6923
2022-08-22,7.6923
2022-08-23,7.1429
2022-08-24,12.5000
2022-08-25,25.0000
2022-08-26,35.7143
2022-08-27,21.4286
2022-08-28,20.0000
2022-08-29,20.0000
2022-08-30,25.0000
2022-08-31,29.4118
2022-09-01,29.4118
2022-09-02,23.5294
2022-09-03,17.6471
2022-09-04,5.2632
2022-09-05,15.7895
2022-09-06,5.0000
2022-09-07,4.7619
2022-09-08,4.7619
2022-09-09,9.5238
2022-09-10,9.5238
2022-09-11,10.0000
2022-09-12,10.5263
2022-09-13,5.0000
2022-09-14,10.0000
2022-09-15,5.5556
2022-09-16,5.5556
2022-09-17,5.0000
2022-09-18,15.0000
2022-09-19,10.5263
2022-09-20,15.7895
2022-09-21,10.5263
2022-09-22,10.5263
2022-09-23,5.2632
2022-09-24,5.2632
2022-09-25,5.8824
2022-09-26,5.8824
2022-09-27,5.8824
2022-09-28,11.7647
2022-09-29,5.8824
2022-09-30,0.0000
2022-10-01,5.8824
2022-10-02,11.1111
2022-10-03,23.5294
2022-10-04,25.0000
2022-10-05,28.5714
2022-10-06,14.2857
2022-10-07,21.4286
2022-10-08,18.7500
2022-10-09,25.0000
2022-10-10,11.1111
2022-10-11,22.2222
2022-10-12,17.6471
2022-10-13,17.6471
2022-10-14,11.7647
2022-10-15,17.6471
2022-10-16,5.8824
2022-10-17,0.0000
2022-10-18,0.0000
2022-10-19,0.0000
2022-10-20,5.8824
2022-10-21,11.7647
2022-10-22,5.8824
2022-10-23,11.1111
2022-10-24,15.0000
2022-10-25,23.8095
2022-10-26,28.5714
2022-10-27,28.5714
2022-10-28,23.8095
2022-10-29,25.0000
2022-10-30,15.0000
2022-10-31,14.2857
2022-11-01,18.1818
2022-11-02,19.0476
2022-11-03,19.0476
2022-11-04,20.0000
2022-11-05,22.7273
2022-11-06,31.8182
2022-11-07,31.8182
2022-11-08,35.0000
2022-11-09,23.8095
2022-11-10,15.0000
2022-11-11,15.0000
2022-11-12,15.0000
2022-11-13,14.2857
2022-11-14,15.7895
2022-11-15,15.7895
2022-11-16,15.7895
2022-11-17,10.0000
2022-11-18,14.2857
2022-11-19,13.6364
2022-11-20,14.2857
2022-11-21,9.5238
2022-11-22,9.5238
2022-11-23,9.5238
2022-11-24,9.5238
2022-11-25,9.0909
2022-11-26,9.5238
2022-11-27,4.5455
2022-11-28,15.0000
2022-11-29,15.0000
2022-11-30,15.0000
2022-12-01,10.5263
2022-12-02,5.2632
2022-12-03,0.0000
2022-12-04,0.0000
2022-12-05,0.0000
2022-12-06,5.2632
2022-12-07,5.5556
2022-12-08,5.8824
2022-12-09,12.5000
2022-12-10,18.7500
2022-12-11,12.5000
2022-12-12,11.7647
2022-12-13,25.0000
2022-12-14,23.5294
2022-12-15,23.5294
2022-12-16,18.7500
2022-12-17,17.6471
2022-12-18,18.7500
2022-12-19,12.5000
2022-12-20,6.2500
2022-12-21,11.7647
2022-12-22,17.6471
2022-12-23,17.6471
2022-12-24,17.6471
2022-12-25,5.8824
2022-12-26,12.5000
2022-12-27,6.2500
2022-12-28,6.2500
2022-12-29,6.2500
2022-12-30,6.6667
2022-12-31,7.1429
