date,STICKINESS
2022-08-21,12.0000
2022-08-22,9.7087
2022-08-23,12.5000
2022-08-24,12.8713
2022-08-25,12.0000
2022-08-26,13.1313
2022-08-27,11.8812
2022-08-28,11.3402
2022-08-29,8.5106
2022-08-30,9.4737
2022-08-31,12.7660
2022-09-01,8.5106
2022-09-02,9.7826
2022-09-03,10.1124
2022-09-04,10.5882
2022-09-05,11.7647
2022-09-06,13.4831
2022-09-07,17.5824
2022-09-08,17.0213
2022-09-09,22.4719
2022-09-10,21.1765
2022-09-11,20.2381
2022-09-12,18.3908
2022-09-13,20.4545
2022-09-14,15.3846
2022-09-15,20.0000
2022-09-16,19.3878
2022-09-17,19.5876
2022-09-18,16.6667
2022-09-19,13.2653
2022-09-20,11.2245
2022-09-21,11.1111
2022-09-22,10.1010
2022-09-23,6.1224
2022-09-24,5.0000
2022-09-25,6.1856
2022-09-26,5.1546
2022-09-27,9.2784
2022-09-28,12.1212
2022-09-29,11.4286
2022-09-30,12.8713
2022-10-01,12.2642
2022-10-02,15.8879
2022-10-03,15.0943
2022-10-04,13.3333
2022-10-05,10.5769
2022-10-06,8.6538
2022-10-07,10.6796
2022-10-08,13.0841
2022-10-09,14.1509
2022-10-10,12.3810
2022-10-11,11.6505
2022-10-12,10.5769
2022-10-13,14.1414
2022-10-14,14.1414
2022-10-15,13.5417
2022-10-16,14.1304
2022-10-17,14.4444
2022-10-18,17.9775
2022-10-19,16.8539
2022-10-20,19.1011
2022-10-21,17.4419
2022-10-22,16.0494
2022-10-23,15.0000
2022-10-24,13.0952
2022-10-25,19.0476
2022-10-26,14.4444
2022-10-27,14.1304
2022-10-28,15.2174
2022-10-29,16.6667
2022-10-30,12.0879
2022-10-31,9.8901
2022-11-01,8.7912
2022-11-02,9.7826
2022-11-03,12.3596
2022-11-04,11.3636
2022-11-05,8.9888
2022-11-06,8.9888
2022-11-07,8.1395
2022-11-08,9.3023
2022-11-09,12.2222
2022-11-10,17.9775
2022-11-11,16.4835
2022-11-12,14.7368
2022-11-13,15.7895
2022-11-14,20.0000
2022-11-15,15.3061
2022-11-16,16.8317
2022-11-17,14.2857
2022-11-18,11.2245
2022-11-19,13.5417
2022-11-20,15.6250
2022-11-21,13.4021
2022-11-22,13.5417
2022-11-23,14.5833
2022-11-24,12.0879
2022-11-25,10.3448
2022-11-26,9.3023
2022-11-27,7.9545
2022-11-28,9.3023
2022-11-29,13.0952
2022-11-30,11.7647
2022-12-01,15.1163
2022-12-02,15.5556
2022-12-03,17.0213
2022-12-04,17.8947
2022-12-05,16.8421
2022-12-06,14.5833
2022-12-07,14.4330
2022-12-08,12.2449
2022-12-09,10.1010
2022-12-10,9.0909
2022-12-11,8.0808
2022-12-12,10.2041
2022-12-13,10.1010
2022-12-14,8.6022
2022-12-15,9.6774
2022-12-16,10.0000
2022-12-17,12.2222
2022-12-18,14.6067
2022-12-19,8.7912
2022-12-20,12.5000
2022-12-21,12.6437
2022-12-22,11.1111
2022-12-23,13.7931
2022-12-24,10.2273
2022-12-25,7.9545
2022-12-26,9.1954
2022-12-27,4.5455
2022-12-28,9.1954
2022-12-29,8.1395
2022-12-30,7.9545
2022-12-31,11.6279
